source_uid,station_id,source_name,descriptionDataset,data_repository_ftp,wmo_id,station_name,lat,lon,elev, fips_code,country,continent,station_data_policy,station_data_type,data_update_status,station_metadata_link,timestep,ver,obs_freq,obs_time_GMT,Wind_speed _start_year,Wind_speed _end_year,Wind_direction_start_year,Wind_direction_end_year,Sea_Level_Pressure _start_year,Sea_Level_Pressure_end_year
1000245,481,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Helsinki Finland,60.17,24.95,11,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,482,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Sortavala USSR,61.7,30.68,15,,Russian Federation,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,483,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Vaasa Finland,63.08,21.62,8,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,484,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Kuopio Finland,62.9,27.67,90,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,485,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Sodankyla Finland,67.37,26.65,181,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,486,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Kajaani Finland,64.22,27.77,146,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,487,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Tampere Finland (Tammerfors),61.5,23.77,83,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,488,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Turku Finland (ABO),60.45,22.27,14,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,489,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Inari Finland (Thule),69.1,27.22,149,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,490,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Hango Finland,59.77,22.95,6,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,491,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Mariehamn Finland,60.1,19.95,14,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,492,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Vipuri USSR (Viborg),60.72,28.78,2,,Russian Federation,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,493,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Jyvaskyla Finland,62.23,25.73,94,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,494,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Oulu Finland (Uleaborg),65.02,25.45,10,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,501,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Bogskar Finland,59.5,20.35,25,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,502,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Kuusamo Finland,65.95,29.2,256,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
1000245,503,NCAR colorado USA_2_various_2,TD_13_NCAR_Sub_Daily_data_Global,NCAR_Via_MattMenne,,Lauttakyla Finland,61.18,22.62,50,,Finland,,WMO Resolution 40,raw,NA,NA,sbdy ,NA,,,1901,1926,1901,1926,1901,1926
